Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
01-08-2023,11.5,14.9,0.0,2.8,1.4,NNW,35.0,02:08,13.3,67,7,W,11,1028.8,14.7,54,7.0,SSW,9,1030.1
02-08-2023,5.8,17.1,0.0,3.0,8.1,N,43.0,14:23,7.9,83,6,NNE,11,1033.9,16.8,50,1.0,N,20,1029.6
03-08-2023,7.8,19.8,0.0,2.6,9.7,N,48.0,12:34,13.5,67,2,N,20,1029.3,19.6,45,1.0,N,22,1024.5
04-08-2023,13.4,18.2,0.0,5.0,3.4,N,61.0,10:32,16.2,55,7,N,22,1022.2,16.1,63,7.0,N,33,1020.2
05-08-2023,9.3,13.6,0.0,2.8,3.0,SSW,26.0,10:45,11.0,65,7,SW,9,1033.5,13.0,57,7.0,SW,7,1033.5
06-08-2023,8.6,13.4,0.0,0.6,0.8,S,20.0,13:12,9.9,91,8,WNW,4,1035.4,12.2,77,7.0,SSW,11,1033.6
07-08-2023,9.0,13.7,0.0,1.4,2.6,SW,19.0,13:06,10.6,84,7, ,Calm,1033.8,13.3,63,7.0,SSW,11,1032.2
08-08-2023,4.7,14.2,0.0,1.0,7.3,SSW,15.0,13:52,6.3,100,7,NE,7,1034.0,13.3,67,1.0,SSW,9,1030.3
09-08-2023,5.5,18.4,0.2,2.4,8.5,0,0.0,0,11.4,74,7,N,13,1027.0,18.2,47,1.0,N,24,1020.9
10-08-2023,10.6,14.5,2.8,4.0,3.5,N,50.0,00:50,11.9,72,3,WNW,11,1019.4,13.8,60,7.0,SW,6,1020.8
11-08-2023,8.2,15.7,0.0,2.8,3.3,NNW,30.0,15:49,12.3,67,6,N,7,1022.7,14.8,51,7.0,NNW,15,1019.8
12-08-2023,11.0,16.0,0.0,3.2,2.2,NNW,33.0,04:39,11.2,78,7,N,13,1019.3,12.9,87,7.0,S,2,1017.2
13-08-2023,7.2,12.9,3.4,2.0,5.9,SSW,24.0,14:54,8.8,96,7,WNW,2,1021.7,11.4,69,7.0,SSW,15,1019.7
14-08-2023,3.4,12.7,0.0,1.0,6.5,SSW,26.0,12:03,5.9,90,7,NE,2,1020.0,12.3,52,6.0,S,11,1018.7
15-08-2023,3.4,13.1,0.0,1.2,9.7,SSW,20.0,14:15,7.4,77,2,NE,6,1024.4,12.7,54,2.0,S,13,1022.8
16-08-2023,1.6,15.8,0.0,2.6,10.2,N,35.0,13:36,5.3,78,0,NE,9,1022.1,15.2,39,1.0,N,17,1016.7
17-08-2023,5.3,12.5,0.0,3.2,0.1,N,44.0,13:25,11.1,61,7,N,15,1012.6,12.1,53,7.0,N,17,1008.1
18-08-2023,8.9,13.5,5.4,2.6,4.0,WSW,37.0,10:57,10.1,77,7,W,13,1005.2,11.9,55,4.0,SSW,17,1009.0
19-08-2023,9.4,18.2,0.2,2.2,4.2,W,35.0,12:19,13.5,76,7,WNW,9,1016.0,17.4,60,7.0,W,13,1016.9
20-08-2023,12.9,19.2,0.0,3.0,7.1,WNW,28.0,04:48,13.5,67,7,NNW,9,1023.6,19.0,41,4.0,W,9,1021.6
21-08-2023,11.5,17.8,0.0,3.0,6.2,N,48.0,12:13,14.6,73,6,N,13,1020.9,16.4,64,6.0,N,24,1016.8
22-08-2023,13.2,14.3,0.0,3.0,0.6,NNW,39.0,01:35,14.3,77,8,W,7,1015.7,11.7,97,8.0,SSW,13,1015.9
23-08-2023,5.6,17.0,3.6,1.4,6.7,NW,24.0,11:05,10.2,70,1,N,9,1026.0,15.9,50,5.0,W,7,1025.1
24-08-2023,8.6,17.9,0.0,2.2,10.1,N,39.0,14:20,11.4,72,5,N,9,1028.8,16.8,48,4.0,N,22,1024.6
25-08-2023,11.1,19.8,0.0,3.8,7.8,N,39.0,07:38,13.7,63,6,N,15,1026.5,18.6,43,6.0,S,9,1025.0
26-08-2023,11.1,15.5,0.0,2.8,0.4,SSE,22.0,04:27,12.1,65,7,ESE,9,1030.4,14.6,62,7.0,SW,7,1027.1
27-08-2023,8.9,15.7,0.0,1.6,6.5,SSW,20.0,13:44,10.6,77,7, ,Calm,1028.0,15.3,67,4.0,SW,9,1024.3
28-08-2023,9.5,16.6,0.0,1.8,5.5,SW,20.0,13:47,11.8,93,8, ,Calm,1023.8,14.9,77,1.0,SSW,11,1020.7
29-08-2023,10.8,18.4,0.2,2.8,1.3,N,41.0,18:12,16.6,66,7,N,15,1017.0,17.5,66,7.0,N,17,1013.6
30-08-2023,12.7,14.9,3.8,3.8,2.7,N,44.0,02:19,12.8,100,7,SW,6,1011.7,12.1,84,7.0,W,13,1013.5
31-08-2023,6.9,15.8,2.8,1.4,5.8,SSW,39.0,15:51,11.4,73,3,NNW,11,1018.8,13.7,84,7.0,SW,13,1018.0
01-09-2023,9.8,14.8,1.8,1.8,4.3,S,28.0,14:18,11.6,90,7,WSW,7,1025.3,14.4,56,5.0,SSW,17,1023.9
02-09-2023,3.9,15.8,0.0,2.6,10.2,SW,22.0,14:17,8.4,76,1,NE,6,1024.4,14.4,62,7.0,SW,13,1020.0
