Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
01-08-2024,1.1,16.3,0.2,1,9.3,N,17,15:32,3.2,100,1,NNE,9,1035.4,16,45,1,N,9,1031
02-08-2024,3.1,15.7,0,2.2,7,NNW,44,10:39,6.8,80,1,NNE,9,1030.2,14.7,47,7,N,20,1026.4
03-08-2024,6.8,14.5,0,4,0.2,N,26,08:16,11.5,62,7,N,13,1028.3,13.5,57,7,S,7,1027.4
04-08-2024,3.2,15.3,0,1.4,7.2,NNE,15,07:30,5.2,92,7,NNE,7,1029.8,15.1,45,7,WSW,4,1026
05-08-2024,5.2,15.8,0,1.8,4,NNE,15,13:03,7.6,88,7,NNE,9,1024.8,15.1,48,4,SW,6,1021.9
06-08-2024,6.7,17.5,0,0.8,9.5,N,41,12:24,10.5,77,4,N,13,1023.9,17.3,38,4,WSW,11,1020.9
07-08-2024,8.2,17.9,0,3.6,8.1,N,35,15:53,10.8,74,7,N,13,1025.2,16.3,52,5,N,17,1023.7
08-08-2024,9.6,14,0,2.4,1.2,N,50,10:38,11.9,62,7,N,24,1023.7,13.4,60,7,N,22,1020.5
09-08-2024,10.6,18.1,0,2.4,8.1,N,26,00:41,12.5,71,1,N,9,1025.9,17.1,43,6,W,6,1024.8
10-08-2024,7.5,17.4,0,2.8,7.1,SSW,20,14:44,8.5,87,7,NNE,7,1029.7,15.7,62,5,SSW,13,1028.4
11-08-2024,5.9,19.8,0,1.4,9.9,NNE,19,13:16,8.7,86,1,N,9,1031.5,18.7,49,4,SW,7,1028.6
12-08-2024,6.6,20.7,0,3,10.1,N,43,11:19,11.3,74,1,NNE,9,1030,20.2,42,7,N,22,1026.2
13-08-2024,9.7,20.5,0,3.6,9.9,N,39,14:59,14,72,1,N,13,1026.4,20,54,3,N,20,1021.4
14-08-2024,12.4,21.9,0,3.4,6.7,NNW,37,16:57,16.5,71,7,N,17,1019.6,21.6,51,2,NNE,15,1016.1
15-08-2024,12.8,20.9,0,3.4,5.4,NNE,39,11:46,16.1,69,2,N,17,1017.8,19.4,55,7,NNE,17,1014.4
16-08-2024,12.1,16.6,0,4,1,NNW,43,09:43,16.1,77,7,N,19,1009.5,16.1,65,7,NNW,15,1006.6
17-08-2024,10.3,15,0.8,2.2,1.7,S,20,13:42,11.4,83,8,N,9,1006.3,14.6,60,7,SW,9,1007.4
18-08-2024,10.7,15.4,1.2,0.8,2.9,SSW,22,15:03,12.8,84,7,SSE,2,1017.7,15.1,73,7,SSW,9,1018.1
19-08-2024,6.2,18.6,0.2,2.6,8.9,N,33,13:43,8,100,7,NE,9,1023.7,17.8,58,1,N,19,1020.5
20-08-2024,7.8,17.9,0.4,2.6,3.6,NNW,50,11:04,16.5,65,7,N,13,1016.3,15.5,73,7,NNE,17,1009.5
21-08-2024,11.9,19.2,1.2,3,6.6,NW,30,11:10,14.9,67,3,NW,9,1013,18,51,5,NNW,15,1011.7
22-08-2024,11.3,18.9,4,2.2,9.2,NNW,31,11:28,13.9,71,1,NNW,13,1017.6,18.3,37,4,NW,9,1016.8
23-08-2024,10.8,18.9,0,2.6,1.9,N,48,22:34,13.8,71,7,N,17,1021.2,18.1,53,7,N,19,1016.4
24-08-2024,13.8,21.8,4.2,4.4,10.3,N,63,00:39,17.1,63,1,NNW,13,1010.9,21.2,49,1,NNW,20,1009.7
25-08-2024,12,23.5,0,4.6,3.8,WSW,61,18:21,14.6,71,7,NNE,9,1006.7,23,51,6,N,24,1001.5
26-08-2024,12.8,18.6,11.6,5.4,5.4,NNW,31,03:20,14.6,65,7,W,11,1015.4,18.2,47,7,W,11,1014.9
27-08-2024,12.4,20.2,0,4.6,1.3,NNW,63,16:00,14.7,67,7,NNE,17,1015.4,19.1,51,7,N,33,1006.5
28-08-2024,14,18.6,0.2,6.6,7.9,NW,57,09:32,15.3,45,1,WNW,15,1004.9,17.6,34,4,NW,24,1004.8
29-08-2024,11.1,17.6,0.8,6.6,3.7,N,65,23:47,12.4,67,7,NNW,15,1013.4,15.7,57,6,N,20,1007.8
30-08-2024,12,20.2,4,6.2,8.1,N,63,00:32,16,54,1,NW,11,998.6,18.7,33,6,NW,19,996.4
31-08-2024,13,18.5,,5.4,5.9,NNW,67,17:45,15.5,49,6,NW,13,1001.8,17,48,5,NNW,31,1002
